Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;63.92;63.92;1;1;0;1;6;112;48;64;42.9;0;0;0;0.0;112;48;64;42.9
Checkpoint_3;66.48;20.08;0;0;0;0;0;31;27;4;87.1;0;0;0;0.0;31;27;4;87.1
Checkpoint_4;583.90;517.42;17;17;0;17;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;643.20;59.30;0;17;0;0;5;61;35;26;57.4;0;0;0;0.0;61;35;26;57.4
Checkpoint_6;1119.10;475.90;1;18;0;1;23;685;15;670;2.2;23;6;17;26.1;708;21;687;3.0
Checkpoint_7;1135.30;16.20;0;18;0;0;4;38;28;10;73.7;0;0;0;0.0;38;28;10;73.7
Checkpoint_8;1212.54;77.24;2;20;0;2;4;49;28;21;57.1;0;0;0;0.0;49;28;21;57.1
Checkpoint_9;1304.96;92.42;2;22;0;2;2;30;13;17;43.3;1;1;0;100.0;31;14;17;45.2
Checkpoint_10;1317.58;12.62;0;22;0;0;1;11;3;8;27.3;1;0;1;0.0;12;3;9;25.0
Final_Level;1361.80;44.22;0;22;0;0;2;76;70;6;92.1;6;5;1;83.3;82;75;7;91.5
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;60%
